Date,Language,CountryCode,NumberOfFans
2018-09-30,ca,ES,16
2018-09-30,da,DK,38
2018-09-30,de,DE,1055
2018-09-30,el,GR,42
2018-09-30,en,GB,10178
2018-09-30,en,US,37765
2018-09-30,es,ES,1335
2018-09-30,es,LA,1949
2018-09-30,fa,IR,14
2018-09-30,ff,NG,275
2018-09-30,fi,FI,17
2018-09-30,fr,CA,12021
2018-09-30,fr,FR,864154
2018-09-30,ha,NG,50
2018-09-30,he,IL,35
2018-09-30,hi,IN,51
2018-09-30,ht,HT,295
2018-09-30,hu,HU,19
2018-09-30,id,ID,131
2018-09-30,it,IT,2740
2018-09-30,ja,JP,14
2018-09-30,mg,MG,571
2018-09-30,nb,NO,36
2018-09-30,nl,BE,59
2018-09-30,nl,NL,325
2018-09-30,pl,PL,41
2018-09-30,pt,BR,1541
2018-09-30,pt,PT,2729
2018-09-30,ro,RO,151
2018-09-30,ru,RU,112
2018-09-30,rw,RW,43
2018-09-30,so,SO,23
2018-09-30,sq,AL,22
2018-09-30,sv,SE,116
2018-09-30,sw,KE,152
2018-09-30,th,TH,56
2018-09-30,tr,TR,121
2018-09-30,tz,MA,32
2018-09-30,vi,VN,27
2018-09-30,zh,CN,43
2018-10-01,af,ZA,19
2018-10-01,ar,AR,4583
2018-10-01,az,AZ,21
2018-10-01,bg,BG,20
2018-10-01,bn,IN,37
2018-10-01,ca,ES,16
2018-10-01,da,DK,38
2018-10-01,de,DE,1059
2018-10-01,el,GR,42
2018-10-01,en,GB,10195
2018-10-01,en,US,37819
2018-10-01,es,ES,1338
2018-10-01,es,LA,1950
2018-10-01,fa,IR,14
2018-10-01,ff,NG,275
2018-10-01,fi,FI,17
2018-10-01,fr,CA,12037
2018-10-01,fr,FR,865358
2018-10-01,ha,NG,50
2018-10-01,he,IL,35
2018-10-01,hi,IN,51
2018-10-01,ht,HT,296
2018-10-01,hu,HU,19
2018-10-01,id,ID,131
2018-10-01,it,IT,2743
2018-10-01,ja,JP,14
2018-10-01,mg,MG,571
2018-10-01,nb,NO,36
2018-10-01,nl,BE,59
2018-10-01,nl,NL,325
2018-10-01,pl,PL,41
2018-10-01,pt,BR,1542
2018-10-01,pt,PT,2733
2018-10-01,ro,RO,151
2018-10-01,ru,RU,112
2018-10-01,rw,RW,43
2018-10-01,so,SO,23
2018-10-01,sq,AL,22
2018-10-01,sv,SE,116
2018-10-01,sw,KE,153
2018-10-01,th,TH,56
2018-10-01,tr,TR,121
2018-10-01,tz,MA,32
2018-10-01,vi,VN,27
2018-10-01,zh,CN,43
2018-10-02,af,ZA,18
2018-10-02,ar,AR,4599
2018-10-02,az,AZ,21
2018-10-02,bg,BG,20
2018-10-02,bn,IN,37
2018-10-02,ca,ES,16
2018-10-02,da,DK,38
2018-10-02,de,DE,1057
2018-10-02,el,GR,42
2018-10-02,en,GB,10206
2018-10-02,en,US,37886
2018-10-02,es,ES,1339
2018-10-02,es,LA,1961
2018-10-02,fa,IR,14
2018-10-02,ff,NG,276
2018-10-02,fi,FI,17
2018-10-02,fr,CA,12045
2018-10-02,fr,FR,866610
2018-10-02,ha,NG,50
2018-10-02,he,IL,35
2018-10-02,hi,IN,52
2018-10-02,ht,HT,295
2018-10-02,hu,HU,19
2018-10-02,id,ID,134
2018-10-02,it,IT,2744
2018-10-02,ja,JP,15
2018-10-02,mg,MG,579
2018-10-02,nb,NO,36
2018-10-02,nl,BE,59
2018-10-02,nl,NL,325
2018-10-02,pl,PL,41
2018-10-02,pt,BR,1552
2018-10-02,pt,PT,2737
2018-10-02,ro,RO,151
2018-10-02,ru,RU,112
2018-10-02,rw,RW,44
2018-10-02,so,SO,23
2018-10-02,sq,AL,22
2018-10-02,sv,SE,116
2018-10-02,sw,KE,157
2018-10-02,th,TH,56
2018-10-02,tr,TR,121
2018-10-02,tz,MA,32
2018-10-02,vi,VN,27
2018-10-02,zh,CN,44
2018-10-03,af,ZA,18
2018-10-03,ar,AR,4603
2018-10-03,az,AZ,21
2018-10-03,bg,BG,20
2018-10-03,bn,IN,37
2018-10-03,ca,ES,16
2018-10-03,da,DK,38
2018-10-03,de,DE,1067
2018-10-03,el,GR,42
2018-10-03,en,GB,10223
2018-10-03,en,US,37998
2018-10-03,es,ES,1341
2018-10-03,es,LA,1970
