CreatedTime,EngagedFans,Impressions,NegativeFeedback,NonViralimpressions,NonViralReach,PostActivity,PostActivityUnique,PostClicks,UniquePostClicks,PostReactionsAnger,PostReactionsHaHa,PostReactionsLike,PostReactionsLove,PostReactionsSorry,PostReactionsWow,Reach
2018-06-10 22:30:00,1803,81596,7,42583,29431,2999,2507,1314,1140,1,0,2095,86,7,0,54794
2018-06-10 22:45:00,1212,63267,7,45661,32330,1082,886,1033,923,6,54,644,14,1,3,43807
2018-06-10 23:00:00,4105,219546,13,75277,54706,7161,5917,4637,4275,0,4,4698,202,0,2,152628
2018-07-10 05:00:00,3360,194100,8,71277,50394,6249,5200,3201,2827,0,5,4151,166,0,1,133515
2018-07-10 05:15:00,8623,434181,28,126926,89637,18000,14924,9524,8448,1,9,12944,712,2,32,291523
2018-07-10 05:30:00,3269,171575,14,62829,44027,7083,5959,2598,2411,0,5,5226,261,2,1,118670
2018-07-10 05:45:00,3961,229587,17,76225,54127,8254,6575,4323,3954,1,3,5448,218,0,0,154793
2018-07-10 06:00:00,5410,345086,12,84440,60907,11113,8941,7458,6390,0,56,7435,185,20,18,226323
2018-07-10 06:30:00,1756,96366,6,36982,26211,3414,2630,1938,1698,0,0,2246,148,5,2,66520
2018-07-10 07:00:00,527,29545,1,21612,14730,621,530,380,338,0,0,440,15,0,1,19795
2018-07-10 08:00:00,6645,440756,19,107512,75416,15251,12722,8081,7086,5,9,10314,518,109,6,289332
2018-07-10 09:30:00,4991,297191,14,100638,73331,9832,7974,6632,5642,2,16,6352,536,1,8,209357
2018-07-10 10:00:00,10033,735556,20,136232,95535,30373,27577,20120,17057,1,34,24177,1789,50,110,519615
2018-07-10 11:00:00,7053,463543,14,106048,75197,16465,13090,10659,9180,4,11,11241,444,19,6,313213
2018-07-10 13:00:00,1196,67995,2,38260,26678,1428,1150,1164,1043,1,0,959,27,0,5,47677
2018-07-10 13:00:00,1565,90321,4,43163,31215,2597,2110,1718,1456,1,5,1903,53,0,1,61729
2018-07-10 15:00:00,1723,83737,5,50340,37105,1894,1567,1812,1641,0,1,1209,54,3,3,59519
2018-07-10 15:30:00,1961,86852,7,53385,38157,2042,1723,1796,1648,3,10,1369,58,2,7,61638
2018-07-10 16:00:00,628,38037,4,31114,22107,737,497,453,412,0,4,410,28,2,0,26938
2018-07-10 16:30:00,6569,510869,16,118027,85135,17556,13825,13117,11434,1,20,11607,634,2,25,355996
2018-07-10 17:00:00,2988,151062,6,56089,39390,6389,5529,3056,2685,1,3,4631,162,0,0,105910
2018-07-10 17:30:00,2017,102013,4,50908,36357,2882,2424,1894,1634,0,2,1970,71,3,3,74424
2018-07-10 18:30:00,6999,417057,17,130711,92208,14126,12023,10504,9168,7,31,10005,305,27,24,273980
2018-07-10 19:00:00,1074,52671,3,35803,25534,1534,1309,839,753,0,1,1203,17,0,0,37002
2018-07-10 19:30:00,4075,219620,12,91794,67399,6095,4859,5061,4478,3,41,4043,172,5,15,153607
2018-07-10 20:00:00,5411,319241,8,90158,64275,12150,9969,7676,6857,2,6,8418,375,43,10,223047
2018-07-10 20:30:00,1900,105389,5,59542,42862,2260,1880,2339,2044,0,1,1586,78,2,2,75430
2018-07-10 21:30:00,1114,49414,3,32069,22849,1331,1138,733,676,0,1,893,30,0,1,35633
2018-07-10 22:00:00,1912,89195,10,44492,31358,2946,2431,1475,1331,0,0,2057,56,2,1,61845
2018-07-10 22:30:00,1232,68230,3,36427,25162,1648,1422,1022,966,0,2,1137,42,0,2,47366
2018-07-10 22:45:00,2659,104954,7,61168,43343,2356,2130,3233,2908,0,3,1811,52,0,5,72815
2018-07-10 23:00:00,1053,49410,3,33596,23508,1154,972,761,697,1,0,822,26,0,0,34029
2018-07-10 23:30:00,737,37244,4,23420,16272,921,762,614,555,0,0,563,19,0,1,25874
2018-08-10 05:00:00,5237,286039,9,76966,55403,11316,8802,6445,5546,0,2,7520,248,2,3,205081
2018-08-10 05:15:00,2149,111893,5,45905,33339,3663,3058,1839,1639,0,3,2477,69,1,3,78365
2018-08-10 05:30:00,6011,363642,6,99161,72443,11556,8835,7535,6428,0,7,7205,281,0,1,252072
2018-08-10 05:45:00,7783,464623,16,110377,79245,18727,15280,9934,8299,2,3,12694,713,1,5,328607
2018-08-10 06:00:00,10000,719520,20,119293,85701,26661,22363,20541,17523,4,31,18387,773,21,25,478340
2018-08-10 06:30:00,826,37471,3,22200,15493,1173,980,521,459,0,0,788,67,1,0,25729
2018-08-10 07:00:00,8981,580896,23,126447,92380,20051,17215,13296,11392,7,209,14432,492,7,32,406062
2018-08-10 07:30:00,1961,128766,7,54041,39139,3700,2880,2170,1842,0,2,2395,73,0,0,90180
2018-08-10 08:00:00,817,45255,2,25397,18007,1318,1091,817,728,0,0,927,40,0,1,31989
2018-08-10 09:00:00,1648,76553,2,41160,30602,2053,1704,1654,1510,1,0,1390,44,5,5,55943
2018-08-10 10:00:00,2141,124733,5,48139,34032,4774,3732,2164,1951,0,1,3139,103,0,5,86817
2018-08-10 11:00:00,14516,1187598,19,175914,125105,43887,34901,28659,23955,17,73,30023,1561,34,51,765254
2018-08-10 12:00:00,1993,108443,2,42761,31811,3421,2851,1976,1723,0,2,2368,60,0,1,75826
2018-08-10 13:01:00,756,45665,2,33991,24090,672,563,820,737,0,1,442,23,1,1,32642
