Date,NewLikes,DailyPostsReach,WeeklyPostShares,DailyPostShares,DailyPageActions,DailyPostsImpression
2018-09-28,1468,1631159,522421,101312,45,5700151
2018-09-28,1468,1631159,522421,101312,45,5700151
2018-09-28,1468,1631159,522421,101312,45,5700151
2018-09-28,1468,1631159,522421,101312,45,5700151
2018-09-28,1468,1631159,522421,101312,45,5700151
2018-09-28,1468,1631159,522421,101312,45,5700151
2018-09-28,1468,1631159,522421,101312,45,5700151
2018-09-28,1468,1631159,522421,101312,45,5700151
2018-09-28,1468,1631159,522421,101312,45,5700151
2018-09-28,1468,1631159,522421,101312,45,5700151
2018-09-28,1468,1631159,522421,101312,45,5700151
2018-09-28,1468,1631159,522421,101312,45,5700151
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
