Date,City,CountryCode,NumberOfFans
9/27/2018,Ngaoundere,CM,2302
9/27/2018,Niamey,NE,7817
9/27/2018,Nouakchott,MR,3394
9/27/2018,Noumea,NC,2955
9/27/2018,Oran,DZ,3066
9/27/2018,Ouagadougou,BF,31049
9/27/2018,Paris,FR,16332
9/27/2018,Pointe-Noire,CD,6418
9/27/2018,Port-Louis,MU,7393
9/27/2018,Port-au-Prince,HT,11231
9/27/2018,Brussels,BE,2603
9/27/2018,Saint-Denis (La Reunion),RE,3754
9/27/2018,Saint-Louis,SN,2294
9/27/2018,Tananarive,MG,7245
9/27/2018,Thies,SN,3872
9/27/2018,Tizi Ouzou,DZ,2534
9/27/2018,Tunis,TN,6644
9/27/2018,Yaounde,CM,20667
9/28/2018,Abidjan,CI,84325
9/28/2018,Alger,DZ,10363
9/28/2018,Antananarivo,MG,38350
9/28/2018,Bamako,ML,31077
9/28/2018,Bangui,CF,4385
9/28/2018,Bobo-Dioulasso,BF,4790
9/28/2018,Bouake ,CI,3352
9/28/2018,Brazzaville,CD,10255
9/28/2018,Bujumbura,BI,2558
9/28/2018,Bejaia,DZ,2325
9/28/2018,Casablanca,MA,3949
9/28/2018,Cocody,CI,3508
9/28/2018,Conakry,GN,30515
9/28/2018,Cotonou,BJ,9314
9/28/2018,Dakar,SN,51688
9/28/2018,Djibouti (ville),DJ,3131
9/28/2018,Douala,CM,45138
9/28/2018,Fianarantsoa,MG,2353
9/28/2018,Jaunde,CM,11936
9/28/2018,Kinshasa,CD,31987
9/28/2018,Libreville,GA,19215
9/28/2018,Lome,TG,8934
9/28/2018,Luanda,AO,4593
9/28/2018,Lubumbashi,CD,5541
9/28/2018,Montreal,CA,2878
9/28/2018,Moroni,KM,3012
9/28/2018,N'Djamena,TD,2879
9/28/2018,Ngaoundere,CM,2307
9/28/2018,Niamey,NE,7810
9/28/2018,Nouakchott,MR,3391
9/28/2018,Noumea,NC,2959
9/28/2018,Oran,DZ,3077
9/28/2018,Ouagadougou,BF,30881
